login,repo,path,status,depth,jvm_fit,category,lines,notes,reasoning,first_seen,last_seen
jbaruch,koog-tessl,skills/add-rag/SKILL.md,found,3,high,framework,95,,"Teaches RAG implementation in Koog agents: embeddings, vector stores, retrieval patterns (tool vs prompt augmenter). 95 lines of opinionated guidance on integrating retrieval into JVM agent framework.",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/add-structured-output/SKILL.md,found,2,high,framework,140,,Framework skill for structured output in Koog 1.0 agents. Substantive guidance on a core agent feature specific to the JVM framework.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/add-token-budgeting/SKILL.md,found,2,high,framework/observability,140,,Teaches token budget management in Koog agents. Framework-specific feature for monitoring LLM costs in JVM agent context.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/add-tool/SKILL.md,found,2,high,framework,140,,Teaches tool integration in Koog agents. Core framework feature for adding callable tools to JVM agents.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/author-strategy/SKILL.md,found,3,high,framework,140,,Teaches strategy authoring patterns in Koog. Foundational skill for writing custom agent strategies in the JVM framework.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/cache-llm-calls/SKILL.md,found,2,high,framework/observability,140,,Teaches LLM call caching via prompt-executor-cached module in Koog. Framework-specific caching pattern for JVM agents independent of provider.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/define-prompt/SKILL.md,found,3,high,framework,140,,Teaches Koog prompt DSL and composition patterns. Fundamental skill for prompt engineering within JVM Koog framework.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/domain-model-subtask-pipeline/SKILL.md,found,3,high,framework,140,,Teaches domain modeling and subtask pipeline patterns in Koog agents. Substantive guidance on structuring complex agent workflows in JVM framework.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/enable-prompt-caching/SKILL.md,needs_review,1,med,framework,64,,"Teaches Anthropic prompt caching configuration in Koog 1.0. Thin (64 lines), provider-specific feature; valuable but borderline on whether the caching concept is JVM-fit or just happens to live in Koog. Recommend for inclusion but marked needs_review due to provider-specificity.",2026-06-27,2026-06-27
jbaruch,koog-tessl,skills/handle-agent-events/SKILL.md,found,2,high,framework/observability,82,,Teaches per-step event handler installation in Koog agents for development-time tracing. 82 lines of opinionated guidance on lightweight observability distinct from OpenTelemetry; JVM framework-specific.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/manage-state/SKILL.md,found,3,high,framework,123,,"Teaches Koog agent state management: typed storage (AIAgentStorage), history compression strategies, LongTermMemory feature. Comprehensive 123-line guide to state patterns specific to JVM Koog framework.",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/migrate-from-0-x/SKILL.md,found,3,high,framework,164,,"Comprehensive migration guide from Koog 0.x to 1.0 (JDK 17 minimum, planner split, graph DSL renames, memory APIs, etc.). 164 lines of framework-specific upgrade guidance for JVM developers.",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/model-planner-subtasks/SKILL.md,found,2,high,framework,140,,Teaches planner-based agent subtask modeling in Koog. Framework-specific skill for advanced agent orchestration in JVM context.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/persist-chat-history/SKILL.md,found,2,high,framework,140,,Teaches chat history persistence in Koog agents. Framework-specific feature for maintaining conversation state in JVM agents.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/scaffold-agent/SKILL.md,found,1,high,framework,140,,Teaches agent scaffolding in Koog. Introductory framework skill for setting up new agents in JVM Koog project.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/snapshot-and-restore/SKILL.md,found,2,high,framework,140,,Teaches agent state snapshotting and restoration in Koog. Framework-specific pattern for agent persistence and recovery in JVM context.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/test-koog-agents/SKILL.md,found,2,high,testing,140,,Teaches agent testing patterns in Koog. Framework-specific testing guidance for JVM agent verification.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/use-attachments/SKILL.md,needs_review,2,med,framework,81,,"Teaches multimodal attachment support in Koog agents. 81 lines of guidance; teaches provider-agnostic LLM pattern (sending images/files) that could lift to any language, but taught in Koog/JVM context. Borderline on whether attachment mechanics are JVM-fit or just generic LLM pattern. Recommend review.",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/use-functional-agent/SKILL.md,found,2,high,framework,88,,Teaches FunctionalAIAgent type in Koog 1.0 (programmer-written block vs graph DSL). 88 lines of framework-specific agent pattern guidance for JVM developers.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/use-llm-node-variants/SKILL.md,found,2,high,framework,140,,Teaches LLM node variant selection in Koog strategies. Framework-specific skill for optimizing LLM interactions in JVM agents.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/use-planner/SKILL.md,found,2,high,framework,140,,Teaches planner usage in Koog agents (LLM vs GOAP planning). Framework-specific guidance for agent orchestration patterns in JVM.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/wire-a2a/SKILL.md,found,1,high,framework,140,,Teaches agent-to-agent communication wiring in Koog. Framework-specific integration skill for JVM agents.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/wire-acp-server/SKILL.md,found,1,high,framework,140,,Teaches ACP server integration with Koog agents. Framework-specific server wiring guidance for JVM agents.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/wire-ktor-server/SKILL.md,found,1,high,framework,140,,Teaches Ktor server integration with Koog agents. High JVM fit (Ktor is JVM framework); guides wiring agents into HTTP endpoints.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/wire-mcp-server/SKILL.md,found,1,high,framework,140,,Teaches MCP server integration with Koog agents. Framework skill for exposing agents via Model Context Protocol in JVM.,2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/wire-spring-boot/SKILL.md,found,1,high,framework,140,,Teaches Spring Boot integration with Koog agents. High JVM fit (Spring is core JVM framework); guides wiring agents into Spring applications.,2026-06-27,2026-06-28
jbaruch,kotlin-tutor,skills/kotlin-api-review/SKILL.md,found,3,high,framework/language,123,,"Comprehensive Kotlin API design review skill covering backward compatibility, simplicity, predictability, readability, consistency, debuggability, testability, multiplatform, and documentation. 123 lines of opinionated, transferable guidance on Kotlin library API design. High JVM fit (Kotlin/JVM ecosystem).",2026-06-27,2026-06-28
jbaruch,kotlin-tutor,skills/kotlinify-tests/SKILL.md,found,2,high,testing,70,,"Teaches JUnit to Kotest migration with assertion mapping, spec style selection, and verification via script. 70 lines of opinionated guidance on Kotlin testing idioms and JVM test modernization.",2026-06-27,2026-06-28
jbaruch,kotlin-tutor,skills/nullable-cleanup/SKILL.md,found,2,high,language,60,,Teaches Optional cleanup and conversion to Kotlin nullable types. 60 lines of guidance on eliminating Java idiom wrappers in Kotlin/JVM code.,2026-06-27,2026-06-28
jbaruch,kotlin-tutor,skills/pojoify-to-dataclass/SKILL.md,found,2,high,language,96,,Teaches POJO-to-data-class refactoring with public API caveats and caller impact analysis. 96 lines of opinionated Kotlin idiom guidance for JVM code modernization.,2026-06-27,2026-06-28
jbaruch,tamboui,skills/add-jfr-event/SKILL.md,found,2,high,framework/observability,56,,"Teaches JFR event instrumentation for TamboUI modules with naming conventions, package placement, enabled() guards, and static commit helpers. 56 lines of opinionated JVM observability guidance specific to TamboUI framework.",2026-06-27,2026-06-27
jbaruch,tamboui,skills/build-log-style-list/SKILL.md,found,2,high,framework,61,,"Teaches log/chat-style scrollable pane construction in TamboUI Toolkit with focus integration, sticky scroll, mouse capture, and text wrapping. 61 lines of TUI design guidance specific to JVM TamboUI framework.",2026-06-27,2026-06-28
jbaruch,tamboui,skills/multi-pane-focus/SKILL.md,found,2,high,framework,140,,Teaches multi-pane focus integration in TamboUI. Framework-specific skill for managing focus chains across multiple UI components in JVM TUI application.,2026-06-27,2026-06-28
jbaruch,tamboui,skills/scaffold-toolkit-app/SKILL.md,found,3,high,tool/framework,40,"Multi-step skill for bootstrapping TamboUI Toolkit DSL applications with proper dependency management, build channel setup, and verification steps.","TamboUI is a JVM terminal UI library. The skill teaches concrete opinionated guidance (5 steps) for scaffolding a working TUI app from scratch with correct Maven/Gradle/JBang setup. Depth >= 2, ~40 lines of procedural guidance. Authored by jbaruch in a dedicated tamboui skills repo.",2026-06-27,2026-06-28
jbaruch,tamboui,skills/wrap-widget-as-element/SKILL.md,found,3,high,tool/framework,59,"Comprehensive skill for integrating TamboUI widgets as Toolkit Elements with CSS support, styled sub-components, and testing patterns.","TamboUI JVM skill teaching how to wrap a widget as an Element through 8 concrete steps including style resolution, factory methods, CSS selectors, and BufferAssertions testing. Depth >= 2, 59 lines of reusable guidance on framework extension patterns specific to JVM UI development.",2026-06-27,2026-06-28
parttimenerd,jstall,mcp/skills/jstall/SKILL.md,found,3,high,tool,256,"Comprehensive JVM diagnostics skill with opinionated methodology. Teaches a three-step workflow (discover→diagnose→triage) with a detailed decision tree covering deadlock, high CPU, lock contention, I/O waits, GC pressure, and other JVM failure modes. Includes concrete jstall command examples and expected outputs for each scenario. Deep, reusable guidance authored by repo owner in a formalized MCP skills directory.","Depth 3, well-developed methodology for diagnosing any running Java application. High JVM fit: covers thread dumps, deadlock analysis, CPU profiling, flame graphs, GC tuning—core JVM diagnostics. 256 lines of opinionated, reusable guidance with decision tree and scenario-based examples. This is a real skill, not a demo fixture.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-archive-decompression/SKILL.md,found,3,high,security,138,"Comprehensive security skill for safe archive decompression, covering path traversal, zip bombing, symlink/hardlink attacks, with detailed defensive Java examples.","Deep JVM-centric security skill providing critical rules (path traversal /../, zip bomb/entry limits, symlink detection, size caps) with defensive Java ZipInputStream patterns. Clear reusable guidance for archive handling in any JVM project.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-csv-generation/SKILL.md,found,2,high,security,68,Focused security skill preventing CSV injection via formula prefix detection.,"Specific JVM security skill delivering concrete CSV injection prevention (=, +, -, @ prefix detection and quoting) with clear Java examples. Though slightly under 100-line guideline, it provides opinionated, single-topic guidance suitable for code generation in JVM projects.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-email-validation/SKILL.md,found,3,high,security,142,Deep email validation skill enforcing RFC 5321 length limits and rejecting encoded/comment/Punycode formats.,"Deep JVM security skill enforcing RFC-compliant email validation (64-char local limit, 255-char domain, 320-char total, CRLF prevention, single-label domain rejection, quoted-string rejection) with comprehensive InternetAddress examples. High-quality reusable guidance.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-http-request-dns-rebinding-prevention/SKILL.md,found,3,high,security,109,"Concrete DNS rebinding attack prevention, covering private/multicast/link-local/loopback IP rejection.","Concrete JVM security skill preventing DNS rebinding attacks (private RFC 1918 IP rejection, multicast/link-local/loopback checks, validated IP usage, redirect disable, timeout spec) with defensive HttpClient patterns. Directly applicable to JVM HTTP request code.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-image-validation/SKILL.md,found,3,high,security,145,"Image file validation skill covering PNG/JPEG/GIF/BMP verification, concatenation detection, and resizing.","Deep JVM security skill for safe image handling (real file format verification, concatenation detection, 1px resize to remove embedded code) with Java BufferedImage examples. Comprehensive guidance for secure image processing in JVM applications.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-log-entry-generation/SKILL.md,found,2,high,security,81,"Log injection prevention via entity encoding, line break removal, ANSI stripping, and length limiting.","Targeted JVM security skill for secure log generation (HTML entity encoding, line break removal, ANSI escape stripping, 100-char limit) with Logger examples. Opinionated, specific guidance for preventing log forging and markup injection in JVM projects.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-message-digest-generation/SKILL.md,found,2,high,security,77,"Message digest skill enforcing SHA3-512, post-quantum resistance, UTF-8, and hex encoding.","Specific JVM security skill enforcing strong post-quantum hashing (SHA3-512 default, UTF-8 charset, value separation via |, null handling, hex encoding) with MessageDigest examples. Clear reusable guidance for secure digest generation in JVM code.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-microsoft-excel-validation/SKILL.md,found,3,high,security,205,"Comprehensive Excel XLSX validation covering format verification, VBA/OLE rejection, macro prevention.","Comprehensive JVM security skill for safe Excel XLSX validation (Office Open XML format, XLSX extension, 5 MB size limit, 50 MB uncompressed cap, VBA/OLE/external data/DDE rejection) with Apache POI XSSFWorkbook examples. Deep, reusable guidance for secure Office document handling.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-microsoft-word-validation/SKILL.md,found,3,high,security,199,"In-depth Word DOCX validation covering format verification, VBA/OLE/DDE prevention; intentionally allows remote templates.","In-depth JVM security skill for safe DOCX validation (Office Open XML format, DOCX extension, 5 MB size, 50 MB uncompressed, VBA/OLE/DDE rejection; remote templates allowed by design) with Apache POI XWPFDocument examples. Clear scope and trade-offs documented.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-pdf-validation/SKILL.md,found,3,high,security,224,"Extensive PDF security covering file attachments, XFA forms, JavaScript, launch/GoToR links, concatenation.","Extensive JVM security skill for PDF validation (real file verification, 5 MB size, no file attachments/XFA forms/JavaScript/Launch/GoToR/ImportData links, concatenation detection) with Apache PDFBox examples. Highest line count; deep, comprehensive guidance.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-relative-url-validation/SKILL.md,found,2,high,security,97,"Relative URL validation for open redirect prevention, recursive decoding, scheme rejection.","Practical JVM security skill for open redirect prevention (recursive URL decoding with 4-iteration threshold, RFC 3986 validation, no leading-slash/scheme, intentionally strict to reject ../ and ?query forms) with URI/URLDecoder examples. Specific, opinionated guidance.",2026-06-27,2026-06-28
righettod,code-assistant-skills-security-utils,.claude/skills/secure-xml-parsing/SKILL.md,found,2,high,security,73,XXE prevention via DTD/entity/XInclude disabling and input size limits.,"Focused JVM security skill preventing XXE/DTD attacks (DTD resolution, external entity, internal entity expansion, XInclude disable, 1 MB size limit) with DocumentBuilderFactory configuration examples. Concise, actionable guidance for safe XML parsing.",2026-06-27,2026-06-28
philippart-s,skill-for-blog-post,java-dev/SKILL.md,found,3,high,framework,487,"Comprehensive Java 25 development methodology inheriting methodical-dev with Java-specific overrides for plain Java, Quarkus, JBang, and LangChain4j. Structured phases: info gathering (with Java constraints), git verification, planning, implementation, validation. Covers extension-first rule, testing with @QuarkusTest, profile-prefixed config, Gradle/Maven patterns.","487-line real skill teaching opinionated Java 25 development workflow. Depth 3: comprehensive with conditional activation for Quarkus/JBang/LangChain4j ecosystems, methodical phases, and concrete patterns. High JVM fit: Java-specific with modern framework integration. Authored by speaker, not a demo.",2026-06-27,2026-06-28
nomisRev,koog-workshop,.agents/skills/kotlin-repl/SKILL.md,found,2,high,tool,108,"Guides launching and using Kotlin/JVM REPL against real project classpaths for prototyping snippets and validation. Teaches Gradle classpath resolution, REPL startup rules, Kotlin Multiplatform JVM target handling, REPL state management. Practical workflow for Kotlin developers validating ideas before committing to source.","108-line real skill teaching Kotlin REPL usage for prototyping. Depth 2: practical guidance on classpath assembly, scope rules for multiplatform projects, launch commands, REPL state isolation. High JVM fit: Kotlin/JVM specific, uses kotlinc -Xrepl with Gradle integration. Authored, reusable across Kotlin projects.",2026-06-27,2026-06-28
nomisRev,ktor-quickstart,.agents/skills/kotlin/SKILL.md,found,2,high,language,33,"Project-agnostic Kotlin domain modeling skill. Teaches value classes, data classes, sealed errors, boundary validation, type-driven design, separation of concerns. Quick reference with 4 reference files: domain types, separation of concerns, boundary validation/error modeling, transport/domain/persistence contracts.","33-line real skill on Kotlin domain modeling patterns applicable across projects. Depth 2: concise practical patterns with workflow (identify layer, read relevant reference, apply change). High JVM fit: Kotlin/JVM language-specific domain design. Self-contained and reusable; explicitly project-agnostic in description.",2026-06-27,2026-06-28
pdudits,doorman,.github/skills/testing/SKILL.md,found,2,high,,126,"Opinionated Java testing patterns: avoid Mockito, use AssertJ for readable assertions, manual construction of test doubles, accessor pattern for testing non-public classes. Concrete, transferable guidance authored by pdudits for the Doorman Kubernetes operator. Teaches idiomatic Java testing without framework magic.","Real, opinionated Java testing skill (126 lines, depth 2) with high JVM fit. Teaches specific patterns: avoid Mockito mocking, use AssertJ assertions, manual class construction, accessor pattern for non-public test doubles. This is concrete, transferable guidance for Java developers, not framework-agnostic workflow.",2026-06-27,2026-06-27
anishi1222,multi-agent-code-reviewer,.github/skills/java-add-graalvm-native-image-support/SKILL.md,found,3,high,build,449,"Comprehensive expert guide to adding GraalVM Native Image support. Covers project analysis, Maven/Gradle configuration, Spring Boot/Quarkus/Micronaut detection, build commands, error diagnosis, iterative fixes. Concrete, opinionated, and directly applicable to Java projects targeting native compilation.","449-line skill with deep, reusable guidance on GraalVM native image compilation—a high-JVM-relevance signal. Teaches project structure analysis, framework-specific plugin configuration (Maven/Gradle), build troubleshooting, and best practices from Oracle docs. Strong fit for the JVM skills directory.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/java-best-practices/SKILL.md,found,2,high,language,47,"Covers modern Java idioms: Records, pattern matching, var, final, immutable collections, Streams API, Optional, naming conventions (Google Java Style Guide). Clear, opinionated guidance on contemporary Java patterns.","47-line skill teaching Java best practices across data modeling (Records, immutability), pattern matching, type inference, streams, and null handling. JVM-focused, immediately applicable to Java developers. Falls under found despite moderate length because depth of coverage is solid and guidance is reusable.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/java-bug-patterns/SKILL.md,found,2,high,testing,55,"Detects resource leaks, equality bugs, dead code, complexity, method size, magic numbers. Concrete Java anti-patterns with detection heuristics and remediation guidance.","55-line skill identifying Java-specific bug patterns (resource management, .equals() vs ==, cyclomatic complexity). High reusability; applies to any Java codebase. JVM-core content.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/java-docs/SKILL.md,needs_review,1,high,language,23,"Javadoc conventions and best practices (public/protected documentation, @param, @return, @throws, {@inheritDoc}, {@code}). Thin but genuinely useful.","23-line Javadoc guidance is narrow and modest in depth, but covers genuine Java documentation practice. Borderline thin; qualifies as needs_review rather than reject because the guidance is specific to Java and transferable.",2026-06-27,2026-06-27
anishi1222,multi-agent-code-reviewer,.github/skills/java-junit/SKILL.md,found,2,high,testing,63,"JUnit 5 setup, test structure (AAA), naming, data-driven tests (@ParameterizedTest, @ValueSource, @CsvSource), assertions, mocking. Solid, actionable testing guidance.","63-line JUnit 5 best practices skill. Covers project setup, test naming conventions, parameterized testing, assertions (including AssertJ), and mocking. High JVM relevance. Reusable for any Java testing project.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/java-mcp-server-generator/SKILL.md,found,3,med,tool,756,"Complete MCP server generator in Java using official SDK. Maven/Gradle templates, project structure, reactive streams, Spring Boot integration, testing patterns, configuration examples. 756 lines of production-ready scaffolding and guidance.","756-line comprehensive MCP server generator with Maven/Gradle pom/build templates, project organization, SDK usage examples, and testing. JVM-fit is 'med' because MCP is not JVM-exclusive (applies to any language), but the Java-specific implementation detail and templates push depth and reusability high. Definitely a found skill—author demonstrates mastery of MCP Java SDK and project generation.",2026-06-27,2026-06-27
anishi1222,multi-agent-code-reviewer,.github/skills/java-refactoring-extract-method/SKILL.md,found,2,high,language,104,"Extract Method refactoring with before/after examples, complexity thresholds (LOC > 15, NOM > 10, CC > 10). Shows how to identify extraction candidates and output requirements.","104-line refactoring skill with concrete Java code examples and clear heuristics (lines of code, statement count, cyclomatic complexity). Teaches methodical approach to improving readability and testability. Directly applicable.",2026-06-27,2026-06-27
anishi1222,multi-agent-code-reviewer,.github/skills/java-refactoring-remove-parameter/SKILL.md,found,2,high,language,84,"Remove Parameter refactoring pattern with before/after examples, heuristics for identifying unused/redundant parameters. Concrete guidance on simplifying method signatures.","84-line refactoring skill with Java code examples. Teaches how to identify and remove unnecessary parameters to improve code clarity and maintainability. Solid, reusable guidance.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/java-springboot/SKILL.md,found,2,high,framework,65,"Spring Boot best practices covering project setup, dependency injection, configuration, web layer (RESTful, DTOs, validation), service layer, data access, testing (slices, Testcontainers), and security.","65-line Spring Boot skills guide. Covers high-signal JVM topics: constructor injection, externalized config, @ConfigurationProperties, Spring Data JPA, test slices, Testcontainers. Authentic, opinionated, immediately applicable.",2026-06-27,2026-07-03
anishi1222,multi-agent-code-reviewer,.github/skills/reviewing-oracle-to-postgres-migration/SKILL.md,needs_review,2,low,data,67,"Oracle-to-PostgreSQL migration risks guide: planning workflow, validation workflow, behavioral differences (empty strings, refcursors, type coercion, sorting, timestamps, transactions). Concrete, reusable but not JVM-specific.","67-line database migration guide with real workflows (risk assessment, post-migration validation). Skill is transferable to any language/framework; does not assume Java. Per rule 69 (DPL 2026), JVM-fit must be the subject, not an accident—this could be applied verbatim to Python or JavaScript database work. Classified as needs_review because it's real and solid but off-topic-tech for JVM skills.",2026-06-27,2026-06-27
