login,repo,path,reason,reasoning,first_seen,last_seen
asierzapata,saku,CLAUDE.md,project-doc,"Rust project notes covering build commands, project layout, storage model. Project-specific guidance, not transferable skill.",2026-06-27,2026-06-28
asierzapata,saku,skills/saku-integration/SKILL.md,review,"Opus recheck rejected promotion: Genuine reusable agent skill for the saku/tdo Rust CLI task manager, but has zero JVM connection — not JVM-specific.. (judge: 154-line task manager skill. Real guidance but low JVM fit (generic task tool). Narrow tool domain but sufficient depth for needs_review.)",2026-06-27,2026-06-28
asierzapata,canopy,AGENTS.md,project-doc,"5-line project stub. Bare reference, no skill content.",2026-06-27,2026-06-28
asierzapata,canopy,CLAUDE.md,project-doc,"40-line project documentation (monorepo structure, DDD architecture). Project-specific scaffolding, not transferable skill.",2026-06-27,2026-06-28
asierzapata,canopy,packages/core/CLAUDE.md,project-doc,"305-line package documentation (Clean Architecture patterns, TypeScript module layout). Mixed project scaffolding and generic patterns. Rule 2026-06-27 (Devoxx Poland) applies: mixes project-specific (module paths, TypeScript config) with generic patterns. Not self-contained transferable skill.",2026-06-27,2026-06-28
asierzapata,maestro,AGENTS.md,project-doc,5-line project stub. Bare reference.,2026-06-27,2026-06-28
asierzapata,maestro,CLAUDE.md,project-doc,5-line project stub. Bare reference.,2026-06-27,2026-06-28
dadoonet,fscrawler,.claude/skills/check-elasticsearch/SKILL.md,review,"Opus recheck rejected promotion: Skill uses generic curl-based Elasticsearch REST API calls with no JVM-specific tooling; it is stack-agnostic (works in any language), and the 3-bullet instruction set is too thin to constitute a reusable skill.. (judge: 22-line Elasticsearch operations skill. High JVM fit (Elasticsearch, Java-native). Thin but focused; reusable for Elasticsearch diagnostics in Java projects. Narrow scope but genuine skill.)",2026-06-27,2026-06-28
dadoonet,fscrawler,.claude/skills/start-elasticsearch/SKILL.md,review,Opus recheck rejected promotion: Skill is project-specific (hardcodes fscrawler's IGNORE_ME directory) and trivially thin — just a curl command to start ES; the JVM connection is indirect and it does not generalize cleanly to other JVM projects without modification.. (judge: 28-line ES startup skill. High JVM fit (Elasticsearch Java runtime). Thin but operational—reusable for local ES setup in JVM testing.),2026-06-27,2026-06-28
dadoonet,fscrawler,.cursorrules,project-doc,4-line bare cursor rules file referencing external architecture.md. No skill content—only project scaffolding references.,2026-06-27,2026-06-28
dadoonet,fscrawler,CLAUDE.md,project-doc,"Project overview, build commands, testing setup, file references. Project scaffolding, not transferable skill.",2026-06-27,2026-06-28
dadoonet,randomizedtesting-demo,CLAUDE.md,project-doc,"Demo project setup notes (RandomizedTesting Maven config, test running). Project-specific guidance, not reusable skill.",2026-06-27,2026-06-28
dadoonet,djdadoo.net,.agents/CLAUDE.md,project-doc,"108-line DJ podcast website operations guide (RSS management, content publishing workflow). Project-specific publication instructions, not transferable skill.",2026-06-27,2026-06-28
dadoonet,djdadoo.net,agents/CLAUDE.md,project-doc,"Hugo site publishing workflow. Project-specific scaffolding and deployment instructions, not transferable skill.",2026-06-27,2026-06-28
martinfrancois,java-streams-skill,AGENTS.md,already-listed,EXCLUDE: skills/language/streams-java.yaml,2026-06-27,2026-06-28
martinfrancois,java-streams-skill,skills/java-streams/SKILL.md,already-listed,EXCLUDE: skills/language/streams-java.yaml,2026-06-27,2026-06-28
martinfrancois,java-optionals-skill,AGENTS.md,already-listed,EXCLUDE: skills/language/optional-java.yaml,2026-06-27,2026-06-28
martinfrancois,java-optionals-skill,skills/java-optionals/SKILL.md,already-listed,EXCLUDE: skills/language/optional-java.yaml,2026-06-27,2026-06-28
martinfrancois,question-driven-talk-assistant,AGENTS.md,project-doc,"58-line React + TypeScript project setup guide (Vite, Vitest, Playwright config). Project-specific build and test configuration, not transferable skill.",2026-06-27,2026-06-28
kdubois,kubernetes-aiops-agent,agents.md,review,"Opus recheck rejected promotion: agents.md is a project-specific AGENTS.md/CLAUDE.md-style AI assistant instructions file for this single repo; the LangChain4j/Quarkus pattern snippets are minimal examples embedded in project setup docs, not a standalone reusable skill.. (judge: 206-line Quarkus development guide with LangChain4j, multi-agent patterns, Kubernetes tooling. High JVM fit (Java 21, Quarkus, LangChain4j). Depth 2 development guidance, reusable patterns for agentic JVM systems.)",2026-06-27,2026-06-28
kdubois,netatmo-java-mcp,AGENTS.md,review,"Opus recheck rejected promotion: AGENTS.md is a project-specific operation guide for the netatmo-java-mcp app (build commands, env vars, architecture map, Kubernetes deployment), not a reusable JVM skill — it documents how to work on this one application, not a generalizable Quarkus/MCP pattern transferable to other projects.. (judge: 123-line Quarkus MCP server skill covering REST API design, OAuth2, streaming, native builds. High JVM fit (Quarkus, Java MCP). Depth 2 with architectural guidance on services and transport layers.)",2026-06-27,2026-06-28
mauromorales,work-cortex,AGENTS.md,project-doc,"125-line personal knowledge management rules (cortex understandings, seeds, network organization). Project-specific scaffolding for LLM wiki, not transferable skill.",2026-06-27,2026-06-28
paoloricciuti,ricciuti.me,AGENTS.md,project-doc,"23-line Svelte MCP reference stub. Project-specific tool reference, not skill content.",2026-06-27,2026-06-28
paoloricciuti,tmcp,CLAUDE.md,project-doc,"149-line MCP monorepo architecture and development guide (JSDoc patterns, type generation, workspace structure). Project-specific scaffolding and tooling, not transferable skill.",2026-06-27,2026-06-28
paoloricciuti,letmediff,.agents/skills/impeccable/SKILL.md,off-topic-tech,"168-line frontend UI design and iteration skill. Comprehensive guidance on web design (typography, colors, animations, accessibility). No JVM connection. Generic frontend skill, off-topic.",2026-06-27,2026-06-28
paoloricciuti,mcp-add,skills/mcp-add/SKILL.md,review,Opus recheck rejected promotion: Generic npx/Node.js MCP-server configuration tool with zero JVM content — fails JVM-specificity requirement entirely.. (judge: 80-line MCP configuration skill. Low JVM fit (generic protocol setup). Real reusable guidance but not JVM-specific. Needs review: genuine skill but off-topic-tech domain.),2026-06-27,2026-06-28
surgeharb,patchmd,templates/SKILL.md,review,"Opus recheck rejected promotion: Generic markdown-patch framework with zero JVM specificity — applies to any language/stack and has no JVM, Java, Kotlin, Gradle, Spring, or JVM-ecosystem content.. (judge: 133-line patch framework skill. Low JVM fit (generic change management). Real guidance but off-topic-tech (versioning/patching framework, not JVM).)",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-configure/SKILL.md,off-topic-workflow,"MCP server authentication setup skill (53 lines). Part of a 7-step workflow bundle for enterprise AI context configuration; generic agent/MCP workflow, not JVM-specific. Individual step in non-JVM workflow.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-detect/SKILL.md,off-topic-workflow,"Stack detection skill (39 lines) for discovering project dependencies and tools. Part of multi-step MCP/AI context workflow bundle; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-discover/SKILL.md,off-topic-workflow,"MCP server discovery skill (80 lines) for matching tools to servers via GitHub catalog and vendor docs. Part of workflow bundle for configuring AI agent environments; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-docs/SKILL.md,off-topic-workflow,"Documentation source discovery skill (36 lines). Identifies where team knowledge lives (Confluence, SharePoint, etc). Part of workflow bundle; generic workflow, not JVM.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-install/SKILL.md,off-topic-workflow,"MCP server installation skill (41 lines) that writes `.mcp.json` configurations. Part of workflow bundle; generic AI agent setup, not JVM-specific.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-instructions/SKILL.md,off-topic-workflow,"Copilot instructions generation skill (52 lines) for enterprise context and tool references. Part of workflow bundle; generic agent workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,demogod,.github/skills/context-review/SKILL.md,off-topic-workflow,"Configuration review/confirmation skill (42 lines) for user approval before setup. Final step in workflow bundle; generic AI context workflow, not JVM.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-advise/SKILL.md,off-topic-workflow,ISEE framework Q&A skill (36 lines) for answering framework questions with layer-specific guidance. ISEE is a generic framework for evaluating agentic systems (Intent/Structure/Execution/Evidence); not JVM-specific.,2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-agents/SKILL.md,off-topic-workflow,Agent assessment skill (37 lines) scoring agents through ISEE framework. Generic agentic system evaluation methodology; not JVM-specific. Part of broader ISEE workflow bundle.,2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-evidence/SKILL.md,off-topic-workflow,"Evidence layer assessment skill (37 lines) for feedback loops and signal flow. Part of ISEE framework workflow; generic methodology, not JVM-specific.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-execution/SKILL.md,off-topic-workflow,"Execution layer assessment skill (37 lines) for team topology and coordination patterns. Part of ISEE framework; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-intent/SKILL.md,off-topic-workflow,"Intent layer assessment skill (40 lines) for outcome statements and decision criteria. Part of ISEE framework workflow; generic methodology for any tech stack, not JVM.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-report/SKILL.md,off-topic-workflow,"Report generation skill (37 lines) that compiles ISEE layer findings into maturity report. Part of workflow bundle; generic assessment tool, not JVM-specific.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-assess-structure/SKILL.md,off-topic-workflow,"Structure layer assessment skill (37 lines) for guardrails and tool scoping. Part of ISEE framework; generic methodology, not JVM-specific.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-drift/SKILL.md,off-topic-workflow,"Drift detection skill (38 lines) comparing repo state against prior ISEE report. Part of ISEE framework workflow; generic assessment, not JVM-specific.",2026-06-27,2026-06-28
suuus,isee-advisor,.github/skills/isee-orchestrate/SKILL.md,off-topic-workflow,"ISEE orchestration skill (39 lines) that runs full 4-layer assessment pipeline. Orchestrates workflow bundle; generic methodology for any tech stack, not JVM.",2026-06-27,2026-06-28
suuus,isee-advisor,evals/.fixtures/agent-heavy/.github/skills/security-check/SKILL.md,test-fixture,Security check skill (23 lines) under evals/.fixtures/ directory. Evaluations fixtures are not authored skills but test data for assessment tools.,2026-06-27,2026-06-28
suuus,isee-advisor,evals/.fixtures/agent-heavy/.github/skills/triage-route/SKILL.md,test-fixture,"Triage routing skill (23 lines) under evals/.fixtures/ directory. Test fixture, not authored production skill.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-configure/SKILL.md,off-topic-workflow,"MCP authentication setup skill (53 lines) in ape-context repo. Parallel implementation to demogod; part of AI context workflow bundle. Generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-detect/SKILL.md,off-topic-workflow,"Stack detection skill (53 lines). Part of workflow bundle for configuring AI agent environments; generic, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-discover/SKILL.md,off-topic-workflow,"MCP server discovery skill (126 lines). Part of workflow bundle; extensive guidance on finding tools but generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-distill/SKILL.md,off-topic-workflow,"Intent extraction skill (201 lines) analyzing documentation to extract team intent and constraints. Part of workflow bundle; operates on ISEE Intent layer. Generic methodology, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-docs/SKILL.md,off-topic-workflow,"Documentation discovery skill (61 lines). Part of workflow bundle for AI context configuration; generic workflow, not JVM.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-drift/SKILL.md,off-topic-workflow,"Configuration drift detection skill (102 lines) comparing project state against current MCP config. Part of workflow bundle; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-feedback/SKILL.md,off-topic-workflow,"Setup report and follow-up scheduling skill (162 lines). Part of workflow bundle's Evidence layer; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-healthcheck/SKILL.md,off-topic-workflow,"Health check and monitoring skill. Part of workflow bundle for AI context setup; generic workflow, not JVM.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-history/SKILL.md,off-topic-workflow,"Session history analysis skill. Part of workflow bundle for extracting team intent from behavior; generic workflow, not JVM.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-install/SKILL.md,off-topic-workflow,"MCP server installation skill. Part of workflow bundle; generic AI agent setup, not JVM-specific.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-instructions/SKILL.md,off-topic-workflow,"Copilot instructions generation skill. Part of workflow bundle; generic agent configuration, not JVM.",2026-06-27,2026-06-28
suuus,ape-context,.github/skills/context-review/SKILL.md,off-topic-workflow,"Configuration review/approval skill. Final step in workflow bundle; generic workflow, not JVM-specific.",2026-06-27,2026-06-28
suuus,detective-agentic-mysteries,AGENTS.md,review,"Opus recheck rejected promotion: Project-specific AGENTS.md for a Node.js/TypeScript game using GitHub Copilot SDK and GPT-4.1 — zero JVM relevance, pure JavaScript stack, and is a bare project-doc not a reusable skill.. (judge: 154-line developer guide for agentic game architecture. Medium JVM fit (agent orchestration patterns, though example is Node.js based). Real framework guidance on multi-agent systems, state, streaming. Depth 2 architectural skill.)",2026-06-27,2026-06-28
victorrentea,petclinic,.claude/skills/multi-review/SKILL.md,off-topic-workflow,Code review workflow skill (47 lines) that spawns review-boss agent and applies safe cleanups. This is a generic code-review workflow pattern; not JVM-specific despite living in a Java repo.,2026-06-27,2026-06-28
victorrentea,petclinic,.claude/skills/regen-user-manual/SKILL.md,project-doc,"User manual regeneration skill (86 lines) specific to PetClinic's UI (Angular frontend, Spring Boot backend). Cannot be transferred to another project without modification. Project-specific tool, not reusable skill.",2026-06-27,2026-06-28
victorrentea,petclinic,CLAUDE.md,project-doc,"CLAUDE.md (122 lines) for PetClinic project providing build commands, architecture layout, database setup, and development notes. Project scaffolding and guidance; not transferable skill guidance per eval rules.",2026-06-27,2026-06-28
victorrentea,petclinic,petclinic-ui-test/CLAUDE.md,project-doc,Brief CLAUDE.md (7 lines) providing UI test guidance for PetClinic project. Project-specific scaffolding notes; not transferable skill.,2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-apply-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-archive-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-continue-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-explore/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-new-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.codex/skills/openspec-propose/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-apply-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-archive-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-continue-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-explore/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-new-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,.github/skills/openspec-propose/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,training-assistant,AGENTS.md,project-doc,AGENTS.md (5 lines) containing minimal persistent rules for training-assistant project workflow. Project-specific guidance; not a reusable skill.,2026-06-27,2026-06-28
victorrentea,training-assistant,CLAUDE.md,project-doc,"CLAUDE.md (136 lines) for workshop tool project covering deployment, architecture, design decisions, and workflow. Project scaffolding and guidance; not transferable skill despite length and detail.",2026-06-27,2026-06-28
victorrentea,agentic-wiki,CLAUDE.md,project-doc,"Project documentation for agentic-wiki. CLAUDE.md providing project-specific guidance, not transferable skill.",2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.claude/skills/openspec-apply-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.claude/skills/openspec-archive-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.claude/skills/openspec-explore/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.claude/skills/openspec-propose/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.codex/skills/openspec-apply-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.codex/skills/openspec-archive-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.codex/skills/openspec-explore/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.codex/skills/openspec-propose/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.github/skills/openspec-apply-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.github/skills/openspec-archive-change/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.github/skills/openspec-explore/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,.github/skills/openspec-propose/SKILL.md,boilerplate,OpenSpec change-workflow template (duplicated set),2026-06-27,2026-06-28
victorrentea,victor-macos-addons,CLAUDE.md,project-doc,"Project documentation for victor-macos-addons. CLAUDE.md providing project-specific guidance and setup, not transferable skill.",2026-06-27,2026-06-28
victorrentea,ai-central,skills/caveman/SKILL.md,off-topic-workflow,"Caveman communication skill teaches generic token-saving communication patterns (drop articles, fragments OK). While reusable, it is not JVM-specific; the same approach could apply verbatim to Python or JavaScript projects. Classified as communication-style workflow, not JVM guidance.",2026-06-27,2026-06-28
victorrentea,live-coding,CLAUDE.md,project-doc,"Bare CLAUDE.md (14 lines) containing only plugin publishing instructions (JetBrains Marketplace token setup). Per rule 3, CLAUDE.md with build/publish commands = project-doc, not a transferable skill.",2026-06-27,2026-06-28
victorrentea,kafka,CLAUDE.md,project-doc,"CLAUDE.md (69 lines) documenting Kafka training project structure, build commands (mvn), test commands, and project layout. Entirely project-specific scaffolding. Per rule 3, CLAUDE.md with build/run/test commands = project-doc.",2026-06-27,2026-06-28
victorrentea,secure-coding,CLAUDE.md,project-doc,"Hybrid CLAUDE.md (170 lines) mixing project pedagogics (hands-on workshop flow, branch strategy, vulnerable code conventions) with training exercise structure. Although pedagogically sound, the guidance is entangled with project-specific layout, endpoints, and branch layout. Per rule 3 (Devoxx Poland), transferable guidance is not self-contained here.",2026-06-27,2026-06-28
victorrentea,java-memory,CLAUDE.md,project-doc,"CLAUDE.md (60 lines) for memory leaks training lab: JVM run command, heap dump procedures, endpoint reference (/leakN), test triggers. Entirely project-specific documentation of intentional leaks and their invocation. Per rule 3, CLAUDE.md documenting project scaffolding = project-doc.",2026-06-27,2026-06-28
victorrentea,wispr-flow-addons,CLAUDE.md,project-doc,"CLAUDE.md (26 lines) describing macOS daemon setup for text cleanup via Claude API. Project-specific instructions for CGEventTap, clipboard capture, API key setup. Per rule 3, CLAUDE.md with project setup = project-doc.",2026-06-27,2026-06-28
victorrentea,microservices,Agents.md,project-doc,"Agents.md (478 lines) is pure project documentation: multi-module Maven structure, module list, Kubernetes setup scripts, kubectl context configuration. Per rule 3, AGENTS.md documenting project layout and infrastructure = project-doc.",2026-06-27,2026-06-28
victorrentea,microservices,CLAUDE.md,project-doc,"CLAUDE.md (94 lines) documenting build/test commands (mvn clean install), Kubernetes stack setup (.sh scripts), manifest ordering. Project-specific scaffolding. Per rule 3, CLAUDE.md with build commands and infrastructure = project-doc.",2026-06-27,2026-06-28
brokenhappy,CoroutineCallTreeVisualization,.agents/skills/ux-designer/AGENTS.md,off-topic-tech,"AGENTS.md (125 lines) compiling UX design rules (user research, accessibility, personas, WCAG AA). Generic UX design skill with no JVM affinity. Per rule 3 (Devoxx Poland), this skill could be lifted verbatim into any product domain without change—it is off-topic-tech.",2026-06-27,2026-06-28
brokenhappy,CoroutineCallTreeVisualization,.agents/skills/ux-designer/SKILL.md,off-topic-tech,"SKILL.md (213 lines) for UX designer role: research, wireframing, prototypes, personas, information architecture. Generic design skill unrelated to JVM. Per rule 3 (Devoxx Poland), not JVM-fit; could apply to any UI project.",2026-06-27,2026-06-28
brokenhappy,CoroutineCallTreeVisualization,CLAUDE.md,project-doc,"CLAUDE.md (68 lines) documenting CoroutineCallTreeVisualization project: compiler plugin structure, data flow, key components, IR rewriting. Project-specific technical documentation. Per rule 3, CLAUDE.md = project-doc.",2026-06-27,2026-06-28
brokenhappy,PresentationAssistantTool,.claude/skills/screenshot-testing/SKILL.md,off-topic-tech,"SKILL.md (63 lines) for screenshot testing on iOS Simulator, Android Emulator, Desktop. Generic UI testing automation skill with no JVM specificity. Platform-agnostic testing methodology. Per rule 3 (Devoxx Poland), could be lifted verbatim into any mobile/desktop project.",2026-06-27,2026-06-28
brokenhappy,Chippy,.agents/skills/debugger/SKILL.md,off-topic-workflow,"SKILL.md (230 lines) teaching systematic debugging methodology (understand problem, gather info, analyze root causes). While high-quality, this is generic debugging process applicable to any language/platform. Per rule 3 (Devoxx Poland), JVM fit is accidental—skill could apply verbatim to Python or Go projects. Classified off-topic-workflow.",2026-06-27,2026-06-28
brokenhappy,Chippy,.agents/skills/ux-designer/AGENTS.md,off-topic-tech,"AGENTS.md (125 lines) compiling UX design best practices. Duplicate of CoroutineCallTreeVisualization/.agents/skills/ux-designer/AGENTS.md—same generic design rules, no JVM context. Off-topic-tech.",2026-06-27,2026-06-28
